"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"CRC.2124325",-5088788.72209445,-11298.6508604828,3010.04969160939,379.653314025127,-830.677558547273,7696.01950666579,-3413.20456601134,1619.76096506687,-1850.66002772088,472.063460014705,-1620.63236274093,-65.5938008707976,435.394551785359,-1952.00092517775,414.587737639263,-846.434359381513,307.71384592378,-431.685791758783,143.901548188319,-121.156975490693
"CRC.2211756",-5112833.58679911,-1699.47462892285,-18364.3303651961,-5782.22683948231,3027.05853823213,-9399.46271926569,951.788178857702,7080.12047565279,-6357.64337419999,-280.127191966521,530.607659875006,385.622788731235,-1194.72914958172,971.818381890195,-866.117316289387,1515.86347525483,887.051563028475,152.462904466837,897.166446236638,180.153709929803
"CRC.2276341",-5036883.68641673,57660.4866190743,15341.1302245451,2272.74884877737,-2550.84045680663,6952.88771028742,7488.11307735644,-153.537700493746,-3190.5566347267,3814.55809071019,2952.88201221098,-636.65373053,298.970117676211,1403.51564961619,25.8013568903394,153.040530754282,-734.888576352176,724.281463777879,-971.402780006498,-70.8146319323815
"CRC.2277930",-5106200.89589802,34853.2389459977,4733.16284893661,-213.53230988094,-1607.1176095384,1953.51764605941,-542.710680025685,670.073512614768,1471.20919956774,-120.013988282431,-221.195347353854,789.611009936881,-116.652783714217,412.221050079448,27.8093892647013,-228.171229577893,397.479461207165,170.451079557613,-58.8295557611196,-303.978297834515
"CRC.2280766",-4682033.57075694,-87991.5492209261,-23561.5028930151,31185.7477457856,28940.2409456082,5444.10833742574,8865.45765256185,3.72871554440462,-2299.82959896129,-823.099641975993,-3450.28826376066,-1769.49540582701,699.04136544738,266.956540783644,1688.7455877776,-86.820302743212,-1549.75910764415,-131.559698118722,1523.16634459185,-345.464107128097
"CRC.2327118",-5043524.7855482,52117.1331589103,2982.95779855425,-5733.91712733062,-648.543066061888,-3811.31172446212,7143.70419237402,-2129.88711824787,-311.373834264235,340.524091469754,1352.88208406867,2092.59374332314,-684.114706375884,-518.182985296145,-977.194338544452,-2125.25647616976,-128.87253167972,-215.789228817695,-1409.06204911882,-258.829531628046
"CRC.2334660",-5056149.82078338,-22420.4598664739,-10997.4464443646,-6002.38317698291,-3770.33253209506,-1958.61358202236,8178.1762851491,661.0034261138,-3605.67559547366,2343.19659464647,1334.40866441495,-474.968953578584,-1304.02448038543,-660.848404456679,4134.39616099879,1486.30309825843,704.668155149827,594.746140025973,684.732404697105,-1029.20629004071
"CRC.2358281",-5104630.63020542,-8203.97722161824,-652.015614601165,-465.497863785813,-2953.84480262506,4293.29058338374,-700.678799946322,3428.15644904428,-1875.59121298392,2654.70445215582,-2655.24222541214,-1141.20433679943,1554.69988886603,-756.464983907364,754.388758743489,657.632146349706,-236.873894782964,187.48694713788,698.363003884796,-129.133413478302
"CRC.2362297",-5118030.05010402,44663.4655354013,10227.7222189399,-2565.68119531972,-3116.14674899387,4581.5762659597,7862.10274587525,1362.08193302133,-3647.43751687333,4634.73276984101,1956.06840165433,-1091.42144964075,2404.42332881723,-872.454124766946,2754.43240256518,194.006532227763,841.138881688315,-269.061217473895,307.974357946939,-663.02892294814
"CRC.2372270",-5000907.29608987,-43152.9160914308,-23102.9207144916,-12822.2245419139,424.649857885038,-12428.2098410876,3480.97370296032,-2034.51733445492,-2489.10422923748,-264.973793698358,-900.425104840478,-868.376637676699,-559.068926238863,602.183262261512,3214.09122225879,257.915109125723,-241.036675549292,180.124854714486,-366.516867327526,-327.413797917092
