Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150
...1	-0.901986505800897	0.0396172970407944	0.181723995788408	0.222373724238473	0.95438156102483	0.998988442233823	1.43662516337426	1.45789233423398	1.43286361876571	1.57314304222509	1.38862431791473	1.2543735479729	1.72666256134043	2.05727030455688	1.85979814736885	2.1228629688583	2.00217437073129	1.70991901045262	1.9628957666831	2.0774492848774	2.03382975353852	1.25666770008591	2.44326951935026	2.5853847738786	1.5963812355523	2.26583260299621	2.83085557613097	2.36543416678871	2.95164970846055	2.22071745480759	2.43231651747097	2.87033192408818	2.9913197855315	2.7775233366414	2.55422768553713	2.88723987536511	2.75822293437138	2.66867790070845	3.118951553485	2.93619271708161	3.17126716687551	3.06139695697391	3.06644682525858	2.55128981916744	3.65520311705183	3.13468665803526	2.96762894420887	2.61816894804705	2.53964034625708	2.58857900864011	3.34373361426855	3.61611400013119	3.2816606128903	4.24118891411117	3.40291281275265	3.67027431676474	4.09717148638019	3.81148145054262	3.50743185952611	3.49191866267983	3.54941033746239	3.31992095284686	3.71261277830399	3.73139694719733	3.75148235799518	3.4488679153549	4.26569681591336	3.66924203471716	3.75466378538757	3.68481709393379	3.98203265985264	3.99497935833381	3.67565501949136	4.51511645096894	3.57682958090876	3.78080939623795	3.98284055749717	4.14550452932256	4.548830887856	3.960581038415	4.2472822983617	3.82520227068289	3.65329318446654	3.90404554601472	4.36394608540296	4.33966883836871	3.84297620456536	4.22313775278408	3.92380057087138	4.38442863534725	4.03619246118749	4.26339549632555	4.11884076302593	4.80710727803947	4.20145134164887	4.01817978964051	4.06782449406832	4.02062739035184	4.18100812907019	3.37511655302896	4.06519613389559	4.10342273163857	3.98050406959529	4.33389043837214	4.18635288866223	4.23385274594166	4.22987663669573	4.03753848586047	3.82271256976402	4.679734933032	4.52012974916039	4.1523254598781	4.43105494832266	4.38564713955016	3.92320200416136	4.08600104384633	4.52343345749555	4.46597200478459	4.44063827678413	4.34257072202871	4.55898733244328	4.49133117269704	4.69893957085133	4.40480042919253	4.64581565799893	4.27978473891364	4.46980783235148	4.60024608055114	4.78292967181071	4.7914833355188	4.54854644895085	4.7604770260373	4.49390519713434	4.43629520567761	5.22950549043169	4.61935371885818	4.93428546908251	4.96537812156231	4.99987294506773	4.60198910670175	4.94533328169135	4.72505173333505	4.68118384544281	4.56560633705526	4.90446274399011	4.69464332151988	4.20181386664113	4.89513411786219	5.19616981353228	4.61542790342489
hsa-mir-200b	1.43045255136629	2.71885527919006	2.47592260321188	2.17488874282783	3.06169565096769	2.18957974445356	2.30658078932211	2.83628450326719	2.87930983337495	2.43238938677849	3.20019930397203	2.31866792582854	3.93881120552081	2.96487433383855	2.97328015916675	2.94409561715453	2.70435760940851	2.54967931489972	1.96616548562208	2.02570473369818	2.2454046009759	2.35989673321532	2.57899679636628	1.59139132235041	2.2627682310493	3.01222603646074	1.93002358387813	2.86046175040216	2.29401682185848	2.1512509398147	2.12261481105739	2.44431702487922	3.32649701599696	3.68758359250624	2.63378116465034	1.7919171908051	2.49425521532643	2.48434733722737	2.67967289738587	2.62250335733876	2.38611651950696	3.25170206582148	2.43936295534351	2.56298467119885	2.60514569862081	2.51900676152726	2.7714627327267	2.0564821667721	2.64569904229652	2.65277430741382	2.93021512465432	3.1974968110032	1.86030488328315	2.79877969528262	3.56392887257418	2.31493766431371	1.62889624208691	2.75590094763126	2.43801587626336	2.25908901007257	2.28280451156187	2.98504063372357	3.06306504058661	2.39104802994061	2.61248091416343	2.72624654775966	2.70940860536091	2.39759167860202	2.78929980047763	3.18205948820412	3.53127833567157	2.80683802164156	2.66428815861536	1.98975461196005	2.14669180149606	2.89434601323341	1.55873143530866	2.90306078313517	2.66053606700563	2.40155061445477	2.21945356742553	2.73476118369051	3.93354351742081	3.41886401872797	1.45033335405309	2.92794399778795	1.80830035796504	3.02801540915413	3.35608662759794	1.96502601431327	2.53016199511157	3.24423165805039	2.65172210833466	2.93191338913077	2.9675920958642	4.86851021777705	2.24901249438463	2.4919020806461	3.50608405897678	3.44868305653802	2.74953151164126	2.88870443055927	2.87178384280962	2.78818663991921	2.40683829202252	2.60226064376582	2.45020099142135	2.08681405996472	2.56557244860995	2.65923068416002	2.69831513041702	2.73198311051147	2.04930426952733	2.77726580628068	2.59353900620795	2.471305261612	3.46127606377952	2.43409313902457	2.73767076019485	2.3509238132548	3.46551067292253	2.4090532476086	2.73770539290412	2.76148040324805	2.36391041240558	2.82926148063039	2.22486035454852	1.84216446191253	2.0462937945367	2.42583476946125	2.98955139323605	2.78511611825778	2.70525382126038	1.8769434862257	3.07891204085984	2.72294002421979	2.97804998316505	2.545917425466	2.52606936702271	3.1887190020565	3.09766102729842	2.90789184067425	3.47960236798485	1.69254897555556	2.20691536272991	2.65510014985187	3.13361403895577	1.85408027262319	2.19764776630732	2.61984901141531
hsa-mir-200a	6.91889705391889	7.55691496939205	7.30795712708473	7.1132653057278	7.83629353553672	6.97964394707111	6.95951497850203	7.34071028850093	6.91392369176575	6.97609939487104	7.54474427698247	7.36563005810348	7.96917093147836	7.27167125801497	7.61504995564104	7.45782050296552	7.67935581708334	7.15484790401157	7.22938053866918	7.06584228473887	7.38598674601764	7.20422904756266	7.31026671565382	6.7729635836794	7.13012209361339	7.28558502089197	7.09656082808811	7.42786574512397	6.73850393024769	7.09542054024723	7.45845085074735	7.22647609676057	7.16095315078216	8.36776899446428	7.17203364464664	6.98267184827444	7.12379875425403	7.11611224111254	7.38793028369847	7.35776254583616	7.35063272773948	7.72909074787738	7.01549213546475	7.06562209026743	6.92158757603388	7.34735065247685	7.40558892568789	7.06525107540738	7.25273295302795	7.49283529184421	7.37695076152794	7.59530234433006	6.86888587294048	7.29174864558827	7.28985549935143	7.20929067816039	6.91244234370466	7.54336116274474	7.43234344006047	7.10832036769941	7.36044527369967	7.4430216241497	7.79740620662295	7.29981400246639	7.53012245020083	7.39564037102826	7.35840819700575	7.37849091570877	6.87499938724575	7.70548508209997	7.97903166906706	7.32309586913251	7.40276583539287	6.96132009695556	7.20224381764802	7.39275853296173	6.72516795978063	7.42075892735105	7.16594113687443	7.07707459225495	7.17408740380584	7.10513527667196	7.56741619153109	7.30529598067803	6.77767698818337	7.21020054294349	7.34673328291183	7.59918597918122	7.52014366756277	7.12115978357246	7.52538012736098	7.41590499988204	7.3755421820895	7.09328711398979	6.98806672144054	7.51003121167347	6.80351005719926	7.23132193427715	7.17021369060633	7.15787566513237	7.36916369100521	7.4339387912316	7.51146122578335	7.44098545464075	7.56645674046344	7.37738809490893	7.21733504382053	6.99843094845306	7.24171983963312	7.80942571162067	7.26414279058861	7.16274486167388	7.02729537897154	7.42788434197174	7.16825324078973	7.31892368126679	7.99607230113894	7.3091660909358	7.25645432605123	7.14135982993268	7.87903306021072	7.60082785643048	7.43644463447645	7.55507693050651	7.11939322575441	7.18682952777041	7.31485916392361	6.83664289443603	7.01411593159204	7.22901123674547	7.64554066897934	7.33496247969869	7.54802018280193	7.12503668123278	7.50389947077722	7.49436130866185	7.36095195826044	7.52113670366751	7.00651070818489	7.49577510029704	7.60853457991853	7.54559210382216	7.87351637981673	7.05228934133235	7.231443999976	7.06421145741381	7.33298359891682	7.28026549801661	7.39914068414818	7.45186474943937
hsa-mir-34a	2.57093946472488	3.01825493993325	2.7855785097962	2.29522531415754	3.88178642588114	3.10231510287283	3.28493036625207	3.46693902089351	3.00414713732717	2.43979133309359	3.36773919005796	2.98326809077281	4.21467859554916	2.7927191307063	3.36664657745988	2.96044161418443	3.22478560200889	2.89022612784352	3.20719412506778	2.86227312981449	2.83632899553493	2.78842735446627	2.95933401821971	2.87065306715905	3.05911912718935	3.29496510840927	2.75950094799117	3.13969658975068	2.87787390776256	2.87572894764576	3.35446189740213	2.73121810282166	2.80400980482276	4.30648440682188	3.12845021337536	2.89714280162029	3.13046930271212	2.77545359857211	3.19038652922759	2.85721443565424	2.83265097037455	3.44277975408006	2.28096283406494	2.5627840280516	2.33294400239625	3.64727613983208	2.92032539633363	2.87638683386599	2.822808107556	3.58733951761205	3.77739784530849	3.41517560451289	2.35723389798968	3.02111444742708	3.49700381578835	3.30301460179254	2.45198675038338	3.48414492186308	3.44107602262295	2.97275640572712	3.12458502283082	3.07281590255074	3.87819372931726	2.68247885247838	2.90937807761652	2.93586898575972	3.08943125749578	3.5388801682705	2.88481332888725	3.60693877389362	3.7252989968589	3.54407646728643	2.74702482858678	3.5639293557362	3.04350167038208	3.36729374110508	2.94853612774459	3.28813990137966	2.86517029578927	3.26580380514015	2.66011674667231	2.74282305619584	3.56344567376207	3.13279538068834	2.60577292651531	3.52126225038979	2.76905428811533	3.02497612803611	3.10420813105577	2.76050070416631	3.27669878992168	3.1200923558599	3.1295553494361	2.95060995593862	3.01951796188715	2.77721715092264	3.0274775236796	3.08512675480114	2.69522818620143	2.50635376586991	3.02718746242457	3.39437806497087	3.64967626803127	3.41792551230414	3.44232877123355	2.90019650304382	2.68884606180877	2.76005343424751	3.26765933830245	3.74506882427862	2.85347778551848	2.76199302449297	2.51205818090556	3.03690467480884	2.89300020858057	3.39070820327929	3.73633559848427	3.11344932746042	3.26379214074708	3.13601833464242	3.47483071053994	3.09373772768	3.06671868223299	3.68184930331071	2.27177176560306	3.05156601108434	3.06880905181495	3.13301803633759	2.88468774574892	3.12116591509955	3.41806325038671	2.96352032191514	3.11668841968718	2.40549363516306	3.07826207252687	3.31052658532269	3.24525412157799	3.14870105129302	2.3415412410359	3.57848469759692	3.40215997571841	3.21939569213808	3.16461244921163	2.5438782398777	3.1720789739788	3.65317622293491	2.97271595135653	3.08671174881424	2.80343078967187	3.01514595081141
hsa-mir-1290	2.37573105073178	3.58472309186511	3.17331264542763	4.18507882989378	3.10447012128103	7.31876553392354	3.07890678469156	3.94806753206641	4.78014757479646	5.1066320437226	3.2652445922178	3.84937977921842	3.39930483972733	2.73050831067045	4.82597151954662	6.27543484426945	2.33318462085076	3.38896980016404	3.47998644486583	3.69779503971102	2.88264126649839	2.55311467091251	3.00809342187477	3.62706161653983	2.34809048699684	2.73196542536068	5.27877458019685	4.72127182695385	4.28070437096231	2.76797396262597	3.69301944303478	2.9030857798509	4.57909380292255	3.20768503282702	1.37409145137401	5.67748703695732	2.23356974717726	2.07666570067671	4.08946004169727	1.52661348769433	3.44333647623411	3.22538562690144	4.96128783803924	3.8614952397206	3.10598865125572	5.30694960478797	2.49542387764219	3.35684300555604	3.8529686640609	5.942446960541	6.94691455588534	6.57367779635483	4.61792649222643	7.45774486800953	4.28487492602403	3.50662398174355	3.41200806389817	2.87380005798817	3.43565188662456	2.22870786867797	3.10124536079348	3.40144538687621	5.38193940907233	3.76659288946401	2.51208551906878	2.30454181329036	6.01904689026156	1.65056454062916	5.47854848539429	5.72134852015062	5.99038906584574	2.32908399449619	2.35234957573503	6.60082590093605	2.40598788260158	5.18141963135254	4.79567408704924	3.39443742368305	6.02769648810501	6.72847250233862	2.70050306789407	3.82561564498344	7.28323515792887	4.82355746384474	3.27947785282005	3.3346934286042	3.40903394997449	4.13836831567698	2.19771891253505	3.16396589331041	4.8287833445451	5.10076900656171	2.87656021755635	6.91931538072712	3.29584016211572	7.50291430859543	5.34730678232223	4.35517127513115	3.64056721180416	4.29306594076885	5.38126199451481	1.90266490088351	4.07262656971727	3.14609258623664	3.70921974353373	2.94621616609437	3.77998187472466	2.6859788497791	3.71125181446992	5.0689205524539	4.61270604134014	4.32131758609015	3.22389710405864	4.0332071321105	3.41522284552153	2.39770654018064	2.39195009754332	3.85194728737106	1.99580989570177	4.75098150758398	4.0806732793759	2.40296226988095	5.02166650737453	3.44470601858316	2.41693957280323	4.96064322964055	3.82765772466646	4.49372624517956	3.06247414382167	2.9285549661133	2.43270053765432	2.25310193887413	3.79138031010285	2.94141217461722	4.97199140667688	3.72747789348676	6.59904955583627	1.25165378783263	3.36244298387285	1.9530349114325	3.33989043620871	2.39945580038999	2.92846238160776	2.88984779082755	6.05407671956669	3.03885844101029	1.98845722358762	3.61251080692236	1.85828275299666	3.19341642158915
hsa-mir-378f	3.26353488228021	2.32729495463016	2.5016719855261	3.60112026496191	3.27023755708527	2.17709834977015	2.53017638011514	3.15033275225532	3.69794633420799	3.20186962700207	3.13094039672052	3.32521578869871	3.4424779028293	2.82926626656589	3.02218838833778	3.91404623292173	2.7030268984193	2.34378268827861	3.37431134977207	2.73445051481225	3.04316344997912	2.41168030109366	3.57071984846881	3.52824554579752	3.2539032498695	2.52914869567388	3.03860891544331	2.93082820717313	3.47863151128362	2.41597392630484	2.32925150743605	2.48999534953825	2.20652348945777	2.92345163247846	2.52349474745249	3.23320880910171	2.71361997977277	2.65911381899761	3.02212698567134	2.42683229761437	3.17964057982228	2.82028179719959	2.65641096390682	2.80746500820751	1.47537333157931	3.11054801855177	1.9478904925056	2.86320507656479	2.0004138769404	3.08933602502509	3.8706801975315	3.3430781293955	2.52259678824591	4.63286759271003	3.03958648653038	3.36952549452819	3.8582140740442	3.54857173817413	2.74741269590881	2.87572539047848	2.90674168693573	2.85611972024671	3.12600201592233	3.33112357358705	2.64458896736238	2.15367718234231	3.57449622391288	2.41969367712671	3.25509904124841	3.16843981267229	3.37342026233037	2.6903971963421	3.04248790967521	3.93874697982632	2.28155983971305	3.54017814400869	3.54768217563896	3.0541630839167	3.30064787583542	2.56426817300619	1.8953822627833	2.2110269625442	3.08666686132219	2.65348880995894	3.09929967153098	3.50162877957272	2.0837629120502	2.73150142377173	2.63405790685654	3.06650090903381	2.30997794427657	2.91528328432887	2.45036905222212	3.93465459165407	2.23747441170924	2.7122006945921	2.93569398151767	2.94814082899775	3.08193098654975	2.19705144890422	2.35963493613312	2.52038470406683	3.15114833363978	3.09504652773085	2.60916792719372	2.98578598957931	3.09759700704653	2.74049453507994	2.75519602417846	4.12748763972189	2.42769658142227	3.17633727773423	1.87420957186465	1.92348409813004	2.75822335541896	2.71581555219805	3.12614806283022	2.53644265802812	2.68119306548866	2.65629958000868	2.98415264886256	2.28929474178956	2.91450185902136	2.7267926488656	2.54931654199513	2.25117310053486	2.96745084974598	2.85922708033314	2.661251411669	3.15095112996264	3.01414763759273	2.89206702919264	2.78366219221291	2.67370079855489	4.75571366094316	3.20370987212553	3.55490736489428	2.80206652097585	3.79833070927383	3.07595320836424	2.87380323255108	2.64644890651637	3.49283676803714	2.39344201915412	3.76221089303485	2.23711426735078	2.40705430307858	2.23150347747575	3.28415707268361	2.83523997004562
hsa-mir-30e	12.2462032750016	12.1424173170265	12.1093017365399	12.2273079348859	13.0132117933654	12.0523529293933	11.8295301995382	12.6424538396022	12.3558671994401	12.1757943601627	12.5938977339045	12.4068722308352	13.0688926273229	12.041098954475	12.544817982925	12.7324376619606	12.4895033504522	11.9811217857151	12.3455318174418	12.0956573917381	12.294078126523	12.1091398222059	12.3130637864643	11.7885728249711	12.131369741617	12.147033441816	12.0364724829837	12.2896993386225	12.0765849327084	11.9165730631215	12.2444502405669	12.1281191327293	12.0255110525726	12.9108509918786	12.1144097565387	12.3469765868221	12.1751003835147	12.1525145075924	12.4619787463337	12.1717658906275	12.434053819859	12.6070950630802	11.8925676841614	12.144377344358	11.9328040198435	12.162365047136	12.0000759150595	12.0336875826071	12.2745416166018	12.5585805571824	12.6524148010527	12.6799215786	11.8527848763573	12.7485651696949	12.5653217522679	12.2547204857088	12.1491141452891	12.6474561748687	12.2697585601754	12.3149698976258	12.343184096694	12.4488050104775	12.5544247448103	12.1972601989425	12.4575382638012	12.2599161516561	12.5915602582238	12.4699150442885	12.111774656609	12.3827337335355	12.5587120275337	11.9841289695361	12.4009537003466	12.3816029950616	12.1085883106474	12.65835216683	11.9987867491188	12.4134763824891	12.2919980947636	11.9750190825932	11.7801578257723	11.9103978766544	12.4258471519096	12.1405063171809	12.1816782252171	12.6378629740887	11.97881487275	12.2651741862568	12.2147726904782	12.4291785750464	12.3674556703565	12.4386087586589	12.0838717934684	12.5717160496931	11.8988635496346	11.9900369795974	11.914074126005	12.0251453889905	13.4691352461874	12.0501444459909	12.1475870960583	12.337980194904	12.5204843987669	12.397742478975	12.6796693999082	12.0999725317354	12.0971346188313	11.9984860038494	12.468849254153	12.7884231232656	11.970038838083	12.2688069067349	11.9043268948246	12.0297243565225	12.204377547274	12.243506956465	12.8908967803169	12.1296346459702	12.1293502536261	11.9793619668531	12.9922108917427	12.3653226351563	12.1799975094112	12.3419231645011	11.9150747181053	12.2429238404142	12.3496904389054	11.7650568175989	12.1502428593859	12.3027499262585	12.363480036775	12.3258458959754	12.3662657719235	12.1412742874498	13.095925936798	12.4314744529396	12.8723623611754	12.2874371319557	12.360743607892	12.4588122274593	12.5987678393565	12.4002248069655	12.6423447044041	11.8476037544467	12.4855822063123	11.9808082836739	12.2413770942447	12.0336575601601	12.2684822180547	12.0800651393361
hsa-mir-30c-1	5.67232275379334	6.5529884932619	6.37420549856693	5.71469029928603	6.31562629273942	5.92545060673818	6.14596972759884	6.38739604452779	5.49956750345152	5.92647736398841	6.2256164336076	6.07426092787194	6.81347000074504	6.3301575460914	6.21281403425783	5.66595294383848	6.18380375217864	6.53766226201011	5.61367309165062	6.15872159877037	6.28478889780421	6.73863984004013	6.40838634623838	5.95276794827891	5.64731887638869	6.17853007686638	6.17586408177187	6.5209674362439	6.21495853614295	6.13260991618297	6.28086981463463	5.9811254685542	6.03097969102635	7.85893845799733	6.14446502849443	5.81368239863369	6.19133733723864	5.8303248870383	6.02467140191754	5.8070602146445	5.31527133612907	6.26399347996126	5.8859269257317	6.05391532518754	6.15163875735926	6.26235864781061	6.64817926390644	5.6417858645496	6.06256190027614	6.30552399626973	5.96931548813578	6.76771167156775	6.05100874223098	5.69386635598001	6.72550938322062	5.68834391424315	5.17873333593784	6.31758239627681	6.19888799962608	5.56595752329068	5.93331737748516	6.24547575897416	6.45206829796327	5.78565929036853	6.16617499442052	6.08757786038083	5.69120790841802	6.1191969804743	5.93308924882573	6.87291461457022	6.40263853325262	6.47125779481608	5.86814923137199	5.57299958591183	6.30854652242017	6.18109799430907	5.52870978267031	6.92886846137587	5.98514260910242	6.22355095630449	5.96659508145756	5.84121988278346	6.04571831519825	5.92881177627907	5.70933027123965	5.76369855194859	6.011398993453	6.17786707626894	6.03722394229279	6.02453863250904	6.01691876948837	5.93854662823714	5.92069543276818	5.18490917242666	6.45514714957225	6.56542324495023	6.28689681111505	6.2358474955954	6.71259638999529	5.82749370951449	6.07965216871154	6.33748987139206	6.33717528185983	6.3922807083459	6.55416503256475	5.77530892007767	6.21426750270811	5.82362825763676	6.35655834303367	6.47755850695057	6.45621061518914	5.63582149178066	6.16131870328468	6.50023748419825	6.47037401629724	6.37857451571775	6.33968858128183	6.38763453749778	6.25618014613004	6.01627305925572	6.63292383633162	6.18575506960844	5.87877039958462	6.31817612574513	6.22215603486856	6.02281659109452	6.02846062402221	5.94263229506607	6.13387454357443	6.30738197469509	6.0922771925481	5.89664218360276	6.06496658483232	5.96247428423304	6.07788970187463	6.17869763715055	6.31630944516821	5.94691706259033	5.72507949350642	6.11360480842931	6.30989294283767	6.17213336577691	6.071998248476	6.35261934894497	5.7959827394649	6.32256657525382	6.72761085743356	6.1520599740879	5.93973706329171	6.0602009252912
hsa-mir-101-1	11.7807020946021	11.5536445817923	12.0472721466058	11.9194821449906	12.4776375427067	11.6411437677159	11.467669405124	12.6575508136477	11.8654109098905	11.9619186526145	12.0536206645939	11.9969959849076	12.6268760350823	11.743008934095	11.954643608413	12.4802417081555	12.4106272416913	11.3761562231108	12.236941951606	11.6175127355948	11.9503527920365	11.6905196577303	12.2374397768832	11.6317426111897	12.1053202485147	11.8486177109867	11.9337694764907	11.8762720725463	11.6153588014824	11.654617047046	11.5053850518124	11.8515360840486	11.7993944455475	11.9677814199222	11.8877560392509	11.9655763866669	12.3201113510588	12.4766658487054	12.0542302159947	12.0696538328851	11.7457605323953	12.7608036505534	11.7052288270669	12.0264641211695	11.5952293576025	11.9491007989698	11.5418188849703	12.2789486252211	11.9703728805109	12.2062014332543	12.17894112791	12.2247604204921	11.6748590583013	12.1888709478146	12.4729748875375	11.8516747999353	12.0653864136283	12.4612685576525	12.3631613130262	12.5058532797781	12.1760580492577	11.9996375138717	12.3626766857121	12.2113414641454	12.3672008021615	12.1148934702831	11.9915565235959	12.1728891362544	11.802130582676	11.9477392804238	12.3156875878731	11.758786932114	11.9656685378474	11.8155371178754	12.1077610542005	12.5849167714877	11.3558330756351	11.7491657701471	11.9571991940855	11.6530035619444	11.7159548817698	11.7658908202394	12.1539969016459	11.8395725807005	12.3225891458195	12.325096123817	11.8220712110434	12.0120070200948	11.9047839095545	12.030270486387	11.8127146489415	11.8704449903654	12.0339843928991	12.8098166132819	11.6395828925806	11.3491077386518	11.8980897920874	12.034709949614	13.4751786228411	11.883397282392	11.6160863283826	12.2623043004413	12.1009324785864	12.2923973864426	12.2912497391084	11.7228239879744	11.9823100313859	12.3644715650248	11.7143539586839	12.7086915796056	11.5836471112406	11.8980711410376	12.014543288714	12.1241387448308	11.9370964653526	12.056586943915	12.7241480414035	12.2202143207053	12.2251865546803	11.7240910772356	12.6460062889935	12.2883820287833	12.1295831412209	12.1166108033667	11.4595776834566	11.8429427100782	11.8397252150675	11.3730969148976	12.1856963075894	12.2831508901831	11.6232076613829	11.9535054817451	11.7258065963736	11.9362152119861	12.7938684012134	12.0540076815964	12.5876046789356	11.8569001799185	11.7387423227605	11.9501354006746	12.2077915222868	11.8569155814033	12.5973712887174	11.8144731388647	11.9978364840588	11.6732811368425	12.0415097084259	11.9297476417116	11.8090072562618	11.9359771151314
hsa-mir-186	8.5865666114464	8.54325500925239	8.29560126459911	8.73098840826252	9.41058181855934	8.37487817600572	7.90170723497645	9.32175381318927	9.47465571759812	8.48684429552319	9.26517764469145	8.73154977396652	10.2918200902812	8.44660608019907	9.00153421779626	8.95736001353069	8.69778968603407	8.39440744085958	8.7967389627264	8.24288871978485	8.41934688946442	8.22135714715221	8.55566799791714	7.94204572854512	8.69508252902792	8.58845963046076	8.38481689484648	8.94792386738723	8.43792715516367	7.98809979030675	8.13864663956727	8.27684606361118	8.08918461475699	9.76472011345471	8.12861102411031	8.93756293591893	8.58216700710527	8.45654990026713	9.12925005714277	8.14175355427057	9.02548008056534	9.10969168921092	8.19622596226077	8.51783075843765	7.92954381169223	8.31436143460882	8.2714550076984	8.68825751870552	8.5938998397803	9.01083036685433	8.97458123499059	9.10592305113532	8.06331806051198	9.54727815108596	8.97320538324274	9.27392471104296	8.50170074214911	8.92267133523647	8.2541308913651	8.53875021854649	8.29501619501878	8.83972835344691	8.81794315886623	9.1384355634297	8.62951854464402	8.38420118153884	9.157207113353	8.46792366386614	8.20968261251797	8.8316428384641	8.84906398114944	8.02345048666223	8.71805850166478	8.7833843797674	8.53156846686138	8.9524020910284	8.61637273623987	8.82272348336751	9.02107453720251	8.04450820902402	7.67320906631312	8.18058199327646	8.63924685018204	8.22201786316671	8.57963743759072	9.14341120935895	8.12796954342759	8.80382243819896	8.40472681274671	8.48353209315625	8.38450458323713	8.82991715721692	7.97503519620528	9.23299726173289	8.27448490199042	7.74563318823655	8.07880634932308	8.47463184068181	10.8502539054634	8.02010663936129	8.49041870968699	8.73488316933988	8.84562602652471	8.82214558804532	9.08433267864669	8.45230097404331	8.42196423739784	8.39470788680105	8.7986025733314	9.16939447738579	8.23899741261614	8.56442084780902	8.05632256429098	8.17985484345964	8.56942716294949	8.62002300861652	10.0739437191177	8.05936440269901	8.30986127134728	8.09884208568529	8.9854194313409	8.33850946004872	8.58829859118866	8.49268145214458	7.95276273072827	8.508497318701	9.07174232370297	8.10939458705149	8.24109550811687	8.70408234406104	9.04799816167991	8.88793231668278	8.80025400416325	8.35227160846783	10.0191076830887	9.05890522761258	9.75992897191343	8.51162346262932	9.34646508821382	9.10760822159638	9.15044386484391	8.59017762202339	9.26225145134256	8.07415975368912	8.84634157634969	8.32951607150282	9.10238328216632	8.08001829456339	8.93399687109289	8.43192952769114
